url,experience,work_format,salary,employment_type,skills
https://hh.ru/vacancy/120125896?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,Формат работы: удалённо,Уровень дохода не указан,Полная занятость,"Python, SQL, Clickhouse, ETL, Apache Airflow, MySQL, PostgreSQL, Linux, Оптимизация кода"
https://hh.ru/vacancy/117635405?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,Формат работы: удалённо,Уровень дохода не указан,Полная занятость,"AdTech, Рекламный кабинет, Team lead, Управление командой, Анализ данных, монетизация мобильных приложений"
https://hh.ru/vacancy/115396059?query=ML&hhtmFrom=vacancy_search_list,1–3 года,,Уровень дохода не указан,,
https://hh.ru/vacancy/116174143?query=ML&hhtmFrom=vacancy_search_list,1–3 года,Формат работы: на месте работодателя,от 130 000 ₽ за месяц на руки,Полная занятость,"Python, Linux, GitHub, PostgreSQL, TensorFlow, PyTorch, Numpy, NLTK/SpaCy, Librosa/PyDub, LoRA"
https://hh.ru/vacancy/119866839?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,"Формат работы: на месте работодателя, удалённо или гибрид",Уровень дохода не указан,Полная занятость,"SQL, Python"
https://hh.ru/vacancy/119729508?query=ML&hhtmFrom=vacancy_search_list,1–3 года,"Формат работы: на месте работодателя, удалённо или гибрид",Уровень дохода не указан,Полная занятость,
https://hh.ru/vacancy/119287912?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,Формат работы: удалённо,от 150 000 ₽ за месяц на руки,Полная занятость,
https://hh.ru/vacancy/120248678?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,,Уровень дохода не указан,,
https://hh.ru/vacancy/120125250?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,Формат работы: удалённо,Уровень дохода не указан,Полная занятость,"Numpy, Clickhouse, ETL, pandas, SQL, Python, Классическое машинное обучение, SciPy, XGBoost, LightGBM, CatBoost, Matplotlib, Jupyter Notebook, Интерпретация данных, Исследовательский анализ данных, Основы баз данных"
https://hh.ru/vacancy/119852033?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,Формат работы: удалённо,до 400 000 ₽ за месяц до вычета налогов,Полная занятость,"Управление командой, Python, Computer Vision, Natural Language Processing, Классическое машинное обучение"
https://hh.ru/vacancy/120242828?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,Формат работы: удалённо или гибрид,Уровень дохода не указан,Полная занятость,"SuperSet, SQL, Python, PostgreSQL, Apache Airflow, Clickhouse"
